NumPoints = 750
X = -0.0482535    Y = 0.0141529    R = 1.41421
X = 0.302024    Y = 0.243807    R = 0.000722969
X = 0.619983    Y = 0.511071    R = 0.000779107
X = 0.873358    Y = 0.397774    R = 0.000722012
X = -0.257573    Y = 0.552889    R = 0.000721923
X = 0.345127    Y = -0.116566    R = 0.000721737
X = 0.312362    Y = -0.893987    R = 0.00072129
X = -0.0511488    Y = -0.62331    R = 0.000720944
X = 0.706443    Y = 0.588603    R = 0.000848841
X = -0.380907    Y = -0.258383    R = 0.000720849
X = -0.00690377    Y = 0.166602    R = 0.000733003
X = 0.439469    Y = -0.112068    R = 0.000720195
X = 0.303887    Y = 0.705509    R = 0.000805185
X = -0.100937    Y = -0.0958813    R = 0.000719861
X = -0.00483948    Y = -0.984106    R = 0.000719001
X = -0.3892    Y = 0.392264    R = 0.000718934
X = -0.665093    Y = 0.676755    R = 0.000725107
X = 0.550068    Y = -0.332211    R = 0.000718737
X = -0.00995797    Y = 0.268561    R = 0.00075515
X = -0.0760369    Y = -0.794308    R = 0.000718264
X = 0.535517    Y = 0.630683    R = 0.000749518
X = -0.541835    Y = -0.30014    R = 0.000717825
X = -0.0678264    Y = 0.157283    R = 0.000783884
X = -0.296638    Y = -0.659086    R = 0.000716736
X = -0.776362    Y = 0.555205    R = 0.000986384
X = -0.166914    Y = -0.92798    R = 0.000716658
X = -0.651536    Y = 0.559397    R = 0.000807926
X = -0.951646    Y = 0.0892779    R = 0.000716538
X = 0.112464    Y = -0.379754    R = 0.000716252
X = 0.184595    Y = 0.0590521    R = 0.000715475
X = -0.773575    Y = 0.140897    R = 0.000713723
X = 0.180658    Y = -0.770852    R = 0.000713268
X = 0.325689    Y = 0.408762    R = 0.000977161
X = 0.320804    Y = 0.583797    R = 0.000713242
X = 0.614212    Y = -0.0496066    R = 0.000712997
X = -0.609392    Y = -0.0423374    R = 0.000712619
X = -0.198382    Y = 0.222798    R = 0.000817109
X = -0.257019    Y = 0.847241    R = 0.000712384
X = 0.70191    Y = 0.686857    R = 0.00112041
X = 0.642868    Y = 0.424123    R = 0.000711934
X = 0.635487    Y = 0.753758    R = 0.000908926
X = -0.119527    Y = -0.203939    R = 0.00071132
X = 0.607121    Y = 0.698008    R = 0.000804063
X = 0.641074    Y = 0.281212    R = 0.000711215
X = 0.354741    Y = 0.728793    R = 0.000761565
X = 0.031314    Y = -0.54563    R = 0.000710041
X = -0.728279    Y = 0.226004    R = 0.000867557
X = 0.700045    Y = 0.0980558    R = 0.000709894
X = -0.822651    Y = 0.219693    R = 0.000758097
X = 0.632888    Y = -0.140624    R = 0.000709874
X = -0.0430695    Y = 0.433053    R = 0.000748442
X = 0.241146    Y = -0.615816    R = 0.000709681
X = 0.364336    Y = 0.666248    R = 0.00100097
X = 0.447112    Y = -0.0552878    R = 0.000708357
X = -0.754839    Y = 0.370884    R = 0.000868738
X = 0.345537    Y = -0.537702    R = 0.000708186
X = -0.771201    Y = 0.304378    R = 0.000948885
X = 0.824902    Y = 0.224293    R = 0.000707831
X = 0.519711    Y = 0.697484    R = 0.00109153
X = 0.474674    Y = 0.382387    R = 0.000707335
X = 0.557596    Y = 0.73503    R = 0.000711262
X = -0.79427    Y = -0.528998    R = 0.000706822
X = -0.704944    Y = 0.350957    R = 0.000721652
X = 0.929611    Y = 0.31597    R = 0.000706633
X = -0.0355816    Y = 0.486148    R = 0.000718771
X = 0.699181    Y = 0.0146368    R = 0.000705534
X = -0.678273    Y = 0.426629    R = 0.000876893
X = 0.0592815    Y = 0.164432    R = 0.000705488
X = -0.43724    Y = 0.295242    R = 0.000912315
X = -0.775189    Y = -0.462495    R = 0.000705374
X = -0.631143    Y = 0.257092    R = 0.000705092
X = 0.870373    Y = -0.275756    R = 0.000705085
X = 0.260933    Y = 0.358502    R = 0.00113087
X = 0.202421    Y = -0.444549    R = 0.000704959
X = 0.417357    Y = 0.738288    R = 0.000811605
X = 0.0812235    Y = -0.455721    R = 0.000704803
X = 0.186595    Y = 0.293171    R = 0.000713863
X = -0.237194    Y = -0.880153    R = 0.000704601
X = 0.0841208    Y = 0.233935    R = 0.000781761
X = -0.482382    Y = -0.254207    R = 0.000704194
X = -0.585848    Y = 0.692695    R = 0.0011968
X = -0.868766    Y = 0.452592    R = 0.000703853
X = -0.433324    Y = 0.359897    R = 0.000748629
X = 0.654    Y = -0.338262    R = 0.000703172
X = -0.61253    Y = 0.448405    R = 0.00112047
X = 0.571532    Y = 0.146257    R = 0.000703026
X = -0.627    Y = 0.510277    R = 0.000753693
X = 0.0561829    Y = 0.660822    R = 0.000702871
X = -0.483077    Y = 0.378451    R = 0.000704901
X = -0.807758    Y = -0.274503    R = 0.000702317
X = 0.081233    Y = 0.352408    R = 0.000798344
X = -0.65082    Y = 0.175178    R = 0.000702235
X = -0.283709    Y = -0.106245    R = 0.000699916
X = -0.936928    Y = 0.0298901    R = 0.000699238
X = -0.329809    Y = 0.424212    R = 0.000814916
X = -0.286817    Y = -0.395763    R = 0.000698386
X = -0.561883    Y = 0.806925    R = 0.000813944
X = 0.722538    Y = -0.680623    R = 0.000697948
X = 0.752672    Y = 0.539528    R = 0.000697061
X = 0.758139    Y = 0.175072    R = 0.000696577
X = -0.0114527    Y = 0.329653    R = 0.000696472
X = 0.0478129    Y = 0.906654    R = 0.0006961
X = -0.272742    Y = 0.364986    R = 0.00071741
X = -0.352927    Y = 0.243853    R = 0.000695592
X = -0.314771    Y = 0.298569    R = 0.000842909
X = -0.540257    Y = 0.56766    R = 0.00069516
X = -0.210416    Y = 0.375772    R = 0.000717518
X = 0.541247    Y = -0.0542854    R = 0.000694306
X = -0.237469    Y = 0.321412    R = 0.000785736
X = 0.378894    Y = -0.313738    R = 0.000693834
X = -0.181611    Y = 0.30736    R = 0.00071371
X = -0.994437    Y = -0.00458711    R = 0.000692408
X = -0.421775    Y = 0.498747    R = 0.000696733
X = 0.865285    Y = -0.162487    R = 0.000691955
X = -0.481056    Y = 0.606121    R = 0.000704868
X = 0.0169311    Y = 0.482949    R = 0.000691952
X = 0.12774    Y = 0.322175    R = 0.000769232
X = 0.179016    Y = -0.531068    R = 0.000690483
X = -0.521726    Y = 0.646485    R = 0.00082081
X = -0.154983    Y = -0.496179    R = 0.000690402
X = -0.301068    Y = 0.938035    R = 0.00121462
X = -0.830554    Y = -0.455375    R = 0.000689429
X = 0.608133    Y = 0.373714    R = 0.000688446
X = -0.0808679    Y = -0.145048    R = 0.000688112
X = -0.131547    Y = 0.543397    R = 0.000788672
X = 0.600773    Y = -0.494192    R = 0.000687937
X = -0.163551    Y = 0.461339    R = 0.00079232
X = 0.446933    Y = 0.260556    R = 0.000686877
X = -0.420841    Y = 0.609088    R = 0.000908664
X = 0.412017    Y = 0.118488    R = 0.00068667
X = 0.0328747    Y = 0.560217    R = 0.000705839
X = -0.676635    Y = -0.482951    R = 0.000686532
X = 0.295952    Y = 0.766327    R = 0.000940454
X = -0.0573362    Y = -0.453209    R = 0.000685992
X = -0.324892    Y = 0.477101    R = 0.000705375
X = 0.477673    Y = -0.69714    R = 0.000685832
X = -0.249271    Y = 0.475092    R = 0.000882571
X = -0.543951    Y = -0.158632    R = 0.000685236
X = 0.212734    Y = 0.484551    R = 0.00125898
X = -0.391189    Y = -0.105174    R = 0.000685141
X = 0.534736    Y = 0.814113    R = 0.000816663
X = 0.245939    Y = 0.17604    R = 0.000685038
X = -0.340399    Y = 0.617828    R = 0.00104287
X = -0.0434646    Y = -0.101326    R = 0.000684965
X = 0.273549    Y = 0.553187    R = 0.000696526
X = -0.325975    Y = 0.0647864    R = 0.000684711
X = -0.0976345    Y = 0.59566    R = 0.00097036
X = -0.511634    Y = 0.294571    R = 0.000684534
X = 0.428562    Y = 0.820735    R = 0.00108492
X = -0.110827    Y = -0.427473    R = 0.000684456
X = 0.24188    Y = 0.747826    R = 0.000795044
X = -0.18462    Y = 0.171266    R = 0.000683051
X = -0.200196    Y = 0.578097    R = 0.000791041
X = -0.228218    Y = -0.252399    R = 0.00068163
X = 0.335486    Y = 0.90821    R = 0.000776904
X = -0.116895    Y = -0.287585    R = 0.000681163
X = 0.210357    Y = 0.547433    R = 0.000989955
X = -0.0740221    Y = 0.530659    R = 0.000680772
X = 0.0838842    Y = 0.539267    R = 0.000760217
X = 0.539451    Y = 0.388336    R = 0.000680016
X = -0.443737    Y = 0.656791    R = 0.000699938
X = -0.59601    Y = -0.253896    R = 0.000679585
X = -0.393256    Y = 0.829609    R = 0.00133624
X = -0.828598    Y = 0.0951893    R = 0.000679266
X = 0.303875    Y = 0.86304    R = 0.000719949
X = -0.766594    Y = -0.635922    R = 0.000679197
X = 0.0865954    Y = 0.605399    R = 0.000745747
X = 0.30361    Y = -0.0846652    R = 0.000678805
X = 0.189826    Y = 0.606037    R = 0.000963991
X = -0.681245    Y = -0.675163    R = 0.000678776
X = 0.181016    Y = 0.657652    R = 0.000685407
X = -0.0864401    Y = 0.404183    R = 0.000678618
X = -0.432253    Y = 0.751972    R = 0.000892908
X = 0.523742    Y = 0.19431    R = 0.000677877
X = -0.301277    Y = 0.662591    R = 0.000883555
X = 0.657446    Y = 0.570999    R = 0.000677637
X = 0.133081    Y = 0.734277    R = 0.000742837
X = 0.710151    Y = 0.214015    R = 0.000677442
X = -0.332422    Y = 0.729913    R = 0.000933082
X = 0.0982418    Y = -0.504895    R = 0.000676923
X = 0.0619245    Y = 0.729099    R = 0.000982309
X = 0.189247    Y = -0.255226    R = 0.000676746
X = 0.163783    Y = 0.974797    R = 0.00108893
X = 0.0243065    Y = -0.0242299    R = 0.00067642
X = -0.262618    Y = 0.722672    R = 0.00123124
X = -0.204787    Y = -0.628317    R = 0.000675822
X = -0.11539    Y = 0.657208    R = 0.000885004
X = 0.660458    Y = -0.619308    R = 0.000675158
X = -0.254278    Y = 0.781542    R = 0.000883816
X = -0.445002    Y = 0.811582    R = 0.00067501
X = 0.263438    Y = 0.810993    R = 0.000763067
X = -0.261958    Y = 0.192082    R = 0.000674441
X = -0.00638843    Y = 0.680872    R = 0.00073616
X = 0.460376    Y = -0.443268    R = 0.000673889
X = -0.060679    Y = 0.673771    R = 0.00074947
X = -0.605481    Y = -0.154007    R = 0.000673341
X = 0.163598    Y = 0.914325    R = 0.00079747
X = -0.930116    Y = -0.259984    R = 0.000673078
X = -0.240107    Y = 0.930852    R = 0.00094195
X = 0.959243    Y = 0.0416434    R = 0.000672739
X = 0.1017    Y = 0.844648    R = 0.000897219
X = 0.791956    Y = 0.57328    R = 0.000670618
X = 0.103215    Y = 0.919038    R = 0.00080569
X = -0.703783    Y = 0.179524    R = 0.000670451
X = 0.0303218    Y = 0.856182    R = 0.000713353
X = 0.0936804    Y = 0.110061    R = 0.000670023
X = -0.210905    Y = 0.812683    R = 0.000670044
X = 0.841723    Y = -0.111281    R = 0.000669217
X = -0.187379    Y = 0.757013    R = 0.000913142
X = 0.515303    Y = 0.306479    R = 0.000669172
X = -0.173212    Y = 0.966385    R = 0.00143436
X = -0.172305    Y = -0.379801    R = 0.000668349
X = -0.035711    Y = 0.971032    R = 0.000683291
X = 0.282835    Y = 0.310217    R = 0.00066796
X = -0.0361672    Y = 0.86209    R = 0.00111392
X = -0.283988    Y = -0.536282    R = 0.000667507
X = -0.10668    Y = 0.80234    R = 0.000728039
X = -0.0654712    Y = -0.916227    R = 0.00066735
X = -0.155634    Y = 0.901744    R = 0.000949067
